gss-code,year,dwellings
E06000001,2011,42100
E06000001,2012,42330
E06000001,2013,42440
E06000001,2014,42530
E06000001,2015,42900
E06000002,2011,59960
E06000002,2012,60080
E06000002,2013,60370
E06000002,2014,60540
E06000002,2015,61220
E06000003,2011,61900
E06000003,2012,62190
E06000003,2013,62260
E06000003,2014,62490
E06000003,2015,62970
E06000004,2011,82240
E06000004,2012,82710
E06000004,2013,83320
E06000004,2014,83680
E06000004,2015,84120
E06000005,2011,48640
E06000005,2012,48850
E06000005,2013,49010
E06000005,2014,49280
E06000005,2015,49780
E06000006,2011,54690
E06000006,2012,55010
E06000006,2013,55430
E06000006,2014,55900
E06000006,2015,56430
E06000007,2011,87940
E06000007,2012,88540
E06000007,2013,89190
E06000007,2014,89880
E06000007,2015,90570
E06000008,2011,59620
E06000008,2012,59650
E06000008,2013,59850
E06000008,2014,60070
E06000008,2015,60290
E06000009,2011,68980
E06000009,2012,69260
E06000009,2013,69400
E06000009,2014,69340
E06000009,2015,69440
E06000010,2011,116500
E06000010,2012,116870
E06000010,2013,117110
E06000010,2014,117350
E06000010,2015,118150
E06000011,2011,149850
E06000011,2012,151660
E06000011,2013,153640
E06000011,2014,155090
E06000011,2015,155800
E06000012,2011,72520
E06000012,2012,72810
E06000012,2013,73210
E06000012,2014,73530
E06000012,2015,73890
E06000013,2011,73630
E06000013,2012,74050
E06000013,2013,74380
E06000013,2014,74730
E06000013,2015,75070
E06000014,2011,86480
E06000014,2012,86770
E06000014,2013,86860
E06000014,2014,86930
E06000014,2015,87210
E06000015,2011,106510
E06000015,2012,106770
E06000015,2013,107140
E06000015,2014,107590
E06000015,2015,108020
E06000016,2011,126700
E06000016,2012,127600
E06000016,2013,128750
E06000016,2014,129870
E06000016,2015,131030
E06000017,2011,16070
E06000017,2012,16130
E06000017,2013,16230
E06000017,2014,16400
E06000017,2015,16630
E06000018,2011,131190
E06000018,2012,131620
E06000018,2013,132420
E06000018,2014,132880
E06000018,2015,133900
E06000019,2011,82550
E06000019,2012,82860
E06000019,2013,83060
E06000019,2014,83420
E06000019,2015,83920
E06000020,2011,68710
E06000020,2012,69430
E06000020,2013,70040
E06000020,2014,70880
E06000020,2015,71960
E06000021,2011,111870
E06000021,2012,112150
E06000021,2013,112430
E06000021,2014,112920
E06000021,2015,113430
E06000022,2011,75930
E06000022,2012,76390
E06000022,2013,76940
E06000022,2014,77490
E06000022,2015,78120
E06000023,2011,188440
E06000023,2012,190180
E06000023,2013,191060
E06000023,2014,192350
E06000023,2015,193800
E06000024,2011,91690
E06000024,2012,92210
E06000024,2013,92740
E06000024,2014,93500
E06000024,2015,94170
E06000025,2011,109980
E06000025,2012,110910
E06000025,2013,111730
E06000025,2014,112830
E06000025,2015,114050
E06000026,2011,113070
E06000026,2012,113540
E06000026,2013,114110
E06000026,2014,114860
E06000026,2015,115560
E06000027,2011,63970
E06000027,2012,64220
E06000027,2013,64470
E06000027,2014,64880
E06000027,2015,65170
E06000028,2011,85380
E06000028,2012,85940
E06000028,2013,86580
E06000028,2014,86970
E06000028,2015,87930
E06000029,2011,66500
E06000029,2012,66690
E06000029,2013,66900
E06000029,2014,67070
E06000029,2015,67370
E06000030,2011,91130
E06000030,2012,92020
E06000030,2013,92620
E06000030,2014,93210
E06000030,2015,93900
E06000031,2011,76760
E06000031,2012,77500
E06000031,2013,78270
E06000031,2014,79140
E06000031,2015,80480
E06000032,2011,76010
E06000032,2012,76370
E06000032,2013,76730
E06000032,2014,76910
E06000032,2015,77100
E06000033,2011,78600
E06000033,2012,78930
E06000033,2013,79190
E06000033,2014,79300
E06000033,2015,79480
E06000034,2011,63870
E06000034,2012,64210
E06000034,2013,64520
E06000034,2014,64850
E06000034,2015,65160
E06000035,2011,110110
E06000035,2012,110920
E06000035,2013,111560
E06000035,2014,112140
E06000035,2015,112620
E06000036,2011,46940
E06000036,2012,47200
E06000036,2013,47600
E06000036,2014,47910
E06000036,2015,48290
E06000037,2011,64600
E06000037,2012,64770
E06000037,2013,65320
E06000037,2014,65760
E06000037,2015,66260
E06000038,2011,65550
E06000038,2012,65860
E06000038,2013,66300
E06000038,2014,66660
E06000038,2015,67300
E06000039,2011,51780
E06000039,2012,52030
E06000039,2013,52210
E06000039,2014,52610
E06000039,2015,53080
E06000040,2011,60900
E06000040,2012,61080
E06000040,2013,61270
E06000040,2014,61630
E06000040,2015,62150
E06000041,2011,62470
E06000041,2012,62750
E06000041,2013,63150
E06000041,2014,63640
E06000041,2015,64100
E06000042,2011,102010
E06000042,2012,103590
E06000042,2013,104890
E06000042,2014,106130
E06000042,2015,107550
E06000043,2011,124420
E06000043,2012,124730
E06000043,2013,125100
E06000043,2014,125540
E06000043,2015,126120
E06000044,2011,88090
E06000044,2012,88370
E06000044,2013,88720
E06000044,2014,88950
E06000044,2015,89370
E06000045,2011,100600
E06000045,2012,101260
E06000045,2013,101710
E06000045,2014,102200
E06000045,2015,103610
E06000046,2011,67510
E06000046,2012,68030
E06000046,2013,68450
E06000046,2014,68760
E06000046,2015,69270
E06000047,2011,233490
E06000047,2012,234760
E06000047,2013,235900
E06000047,2014,236680
E06000047,2015,237750
E06000048,2011,148010
E06000048,2012,148570
E06000048,2013,149190
E06000048,2014,149750
E06000048,2015,151190
E06000049,2011,166240
E06000049,2012,166880
E06000049,2013,167530
E06000049,2014,168360
E06000049,2015,169600
E06000050,2011,147570
E06000050,2012,148370
E06000050,2013,149040
E06000050,2014,150010
E06000050,2015,151590
E06000051,2011,135570
E06000051,2012,136300
E06000051,2013,137150
E06000051,2014,137970
E06000051,2015,139120
E06000052,2011,258880
E06000052,2012,261260
E06000052,2013,263540
E06000052,2014,265570
E06000052,2015,268270
E06000053,2011,1390
E06000053,2012,1400
E06000053,2013,1400
E06000053,2014,1400
E06000053,2015,1400
E06000054,2011,201990
E06000054,2012,203740
E06000054,2013,205440
E06000054,2014,207660
E06000054,2015,209790
E06000055,2011,67330
E06000055,2012,68250
E06000055,2013,68910
E06000055,2014,69900
E06000055,2015,70730
E06000056,2011,108690
E06000056,2012,109990
E06000056,2013,110960
E06000056,2014,112220
E06000056,2015,113740
E07000004,2011,71880
E07000004,2012,72990
E07000004,2013,73920
E07000004,2014,74910
E07000004,2015,76330
E07000005,2011,38290
E07000005,2012,38460
E07000005,2013,38770
E07000005,2014,38930
E07000005,2015,39050
E07000006,2011,27710
E07000006,2012,27840
E07000006,2013,28060
E07000006,2014,28210
E07000006,2015,28350
E07000007,2011,70090
E07000007,2012,70600
E07000007,2013,70820
E07000007,2014,71090
E07000007,2015,71520
E07000008,2011,48290
E07000008,2012,48620
E07000008,2013,49100
E07000008,2014,50400
E07000008,2015,51120
E07000009,2011,35750
E07000009,2012,36120
E07000009,2013,36410
E07000009,2014,36600
E07000009,2015,36760
E07000010,2011,42090
E07000010,2012,42300
E07000010,2013,42620
E07000010,2014,42950
E07000010,2015,43560
E07000011,2011,71400
E07000011,2012,72270
E07000011,2013,72690
E07000011,2014,73370
E07000011,2015,73890
E07000012,2011,61720
E07000012,2012,62420
E07000012,2013,63010
E07000012,2014,63640
E07000012,2015,64510
E07000026,2011,45430
E07000026,2012,45610
E07000026,2013,45810
E07000026,2014,46010
E07000026,2015,46310
E07000027,2011,33020
E07000027,2012,32950
E07000027,2013,32990
E07000027,2014,33060
E07000027,2015,33150
E07000028,2011,50230
E07000028,2012,50660
E07000028,2013,50880
E07000028,2014,51070
E07000028,2015,51480
E07000029,2011,32430
E07000029,2012,32470
E07000029,2013,32630
E07000029,2014,32770
E07000029,2015,32900
E07000030,2011,25310
E07000030,2012,25410
E07000030,2013,25590
E07000030,2014,25740
E07000030,2015,25870
E07000031,2011,53420
E07000031,2012,53620
E07000031,2013,53870
E07000031,2014,54140
E07000031,2015,54510
E07000032,2011,54930
E07000032,2012,55130
E07000032,2013,55340
E07000032,2014,55610
E07000032,2015,55880
E07000033,2011,34360
E07000033,2012,34490
E07000033,2013,34610
E07000033,2014,34740
E07000033,2015,35000
E07000034,2011,48490
E07000034,2012,48540
E07000034,2013,48700
E07000034,2014,48850
E07000034,2015,49040
E07000035,2011,33480
E07000035,2012,33610
E07000035,2013,33830
E07000035,2014,33940
E07000035,2015,34060
E07000036,2011,50530
E07000036,2012,50740
E07000036,2013,50900
E07000036,2014,51130
E07000036,2015,51350
E07000037,2011,40770
E07000037,2012,40870
E07000037,2013,41080
E07000037,2014,41120
E07000037,2015,41250
E07000038,2011,44050
E07000038,2012,44170
E07000038,2013,44320
E07000038,2014,44390
E07000038,2015,44650
E07000039,2011,40380
E07000039,2012,40760
E07000039,2013,41030
E07000039,2014,41420
E07000039,2015,41840
E07000040,2011,63880
E07000040,2012,64210
E07000040,2013,64680
E07000040,2014,65530
E07000040,2015,66620
E07000041,2011,50720
E07000041,2012,51310
E07000041,2013,51560
E07000041,2014,52110
E07000041,2015,52830
E07000042,2011,33970
E07000042,2012,34210
E07000042,2013,34540
E07000042,2014,34870
E07000042,2015,35210
E07000043,2011,44420
E07000043,2012,44600
E07000043,2013,44910
E07000043,2014,45330
E07000043,2015,45680
E07000044,2011,43240
E07000044,2012,43540
E07000044,2013,43740
E07000044,2014,43930
E07000044,2015,44110
E07000045,2011,57720
E07000045,2012,58060
E07000045,2013,58550
E07000045,2014,59390
E07000045,2015,60050
E07000046,2011,30700
E07000046,2012,30970
E07000046,2013,31120
E07000046,2014,31250
E07000046,2015,31720
E07000047,2011,24680
E07000047,2012,24770
E07000047,2013,24840
E07000047,2014,24950
E07000047,2015,25060
E07000048,2011,23130
E07000048,2012,23190
E07000048,2013,23270
E07000048,2014,23410
E07000048,2015,23570
E07000049,2011,38970
E07000049,2012,39070
E07000049,2013,39100
E07000049,2014,39250
E07000049,2015,39420
E07000050,2011,30400
E07000050,2012,30770
E07000050,2013,30920
E07000050,2014,31140
E07000050,2015,31320
E07000051,2011,22130
E07000051,2012,22240
E07000051,2013,22310
E07000051,2014,22390
E07000051,2015,22450
E07000052,2011,49320
E07000052,2012,49690
E07000052,2013,50050
E07000052,2014,50330
E07000052,2015,50580
E07000053,2011,31000
E07000053,2012,31220
E07000053,2013,31410
E07000053,2014,31550
E07000053,2015,31700
E07000061,2011,47470
E07000061,2012,47690
E07000061,2013,47850
E07000061,2014,48090
E07000061,2015,48250
E07000062,2011,42770
E07000062,2012,43130
E07000062,2013,43280
E07000062,2014,43430
E07000062,2015,43590
E07000063,2011,43850
E07000063,2012,44090
E07000063,2013,44310
E07000063,2014,44430
E07000063,2015,44700
E07000064,2011,44020
E07000064,2012,44190
E07000064,2013,44290
E07000064,2014,44450
E07000064,2015,44630
E07000065,2011,65160
E07000065,2012,65780
E07000065,2013,66450
E07000065,2014,67010
E07000065,2015,67640
E07000066,2011,74030
E07000066,2012,74680
E07000066,2013,75330
E07000066,2014,75450
E07000066,2015,76120
E07000067,2011,62700
E07000067,2012,63010
E07000067,2013,63180
E07000067,2014,63360
E07000067,2015,63770
E07000068,2011,32070
E07000068,2012,32200
E07000068,2013,32410
E07000068,2014,32520
E07000068,2015,32680
E07000069,2011,37680
E07000069,2012,37740
E07000069,2013,37850
E07000069,2014,38020
E07000069,2015,38230
E07000070,2011,71250
E07000070,2012,71460
E07000070,2013,71710
E07000070,2014,72180
E07000070,2015,73010
E07000071,2011,74540
E07000071,2012,75610
E07000071,2013,76230
E07000071,2014,76940
E07000071,2015,77670
E07000072,2011,54410
E07000072,2012,54700
E07000072,2013,54820
E07000072,2014,55130
E07000072,2015,55360
E07000073,2011,35720
E07000073,2012,36100
E07000073,2013,36260
E07000073,2014,36370
E07000073,2015,36580
E07000074,2011,27210
E07000074,2012,27300
E07000074,2013,27420
E07000074,2014,27490
E07000074,2015,27560
E07000075,2011,34440
E07000075,2012,34540
E07000075,2013,34570
E07000075,2014,34810
E07000075,2015,35140
E07000076,2011,66930
E07000076,2012,67160
E07000076,2013,67400
E07000076,2014,67610
E07000076,2015,67880
E07000077,2011,32860
E07000077,2012,33380
E07000077,2013,33930
E07000077,2014,34310
E07000077,2015,34780
E07000078,2011,53120
E07000078,2012,53160
E07000078,2013,53430
E07000078,2014,53850
E07000078,2015,54130
E07000079,2011,39940
E07000079,2012,40480
E07000079,2013,41010
E07000079,2014,41410
E07000079,2015,41870
E07000080,2011,36160
E07000080,2012,36430
E07000080,2013,36660
E07000080,2014,37000
E07000080,2015,37370
E07000081,2011,52720
E07000081,2012,53310
E07000081,2013,53740
E07000081,2014,54220
E07000081,2015,54780
E07000082,2011,49940
E07000082,2012,50340
E07000082,2013,50750
E07000082,2014,51220
E07000082,2015,51800
E07000083,2011,37060
E07000083,2012,37370
E07000083,2013,37830
E07000083,2014,38420
E07000083,2015,38990
E07000084,2011,70940
E07000084,2012,71630
E07000084,2013,71940
E07000084,2014,72470
E07000084,2015,72890
E07000085,2011,49100
E07000085,2012,49440
E07000085,2013,49780
E07000085,2014,50140
E07000085,2015,50690
E07000086,2011,53400
E07000086,2012,53800
E07000086,2013,54090
E07000086,2014,54480
E07000086,2015,54650
E07000087,2011,47940
E07000087,2012,48220
E07000087,2013,48460
E07000087,2014,48610
E07000087,2015,48900
E07000088,2011,36680
E07000088,2012,37020
E07000088,2013,37090
E07000088,2014,37060
E07000088,2015,37090
E07000089,2011,36500
E07000089,2012,36830
E07000089,2013,37020
E07000089,2014,37290
E07000089,2015,37630
E07000090,2011,52780
E07000090,2012,52950
E07000090,2013,53200
E07000090,2014,53400
E07000090,2015,53890
E07000091,2011,80290
E07000091,2012,80520
E07000091,2013,80720
E07000091,2014,80840
E07000091,2015,80990
E07000092,2011,37660
E07000092,2012,37830
E07000092,2013,38080
E07000092,2014,38280
E07000092,2015,38580
E07000093,2011,49140
E07000093,2012,49670
E07000093,2013,50340
E07000093,2014,50880
E07000093,2015,51760
E07000094,2011,49140
E07000094,2012,49460
E07000094,2013,49660
E07000094,2014,50140
E07000094,2015,50400
E07000095,2011,39190
E07000095,2012,39370
E07000095,2013,39550
E07000095,2014,39650
E07000095,2015,39830
E07000096,2011,61940
E07000096,2012,62390
E07000096,2013,62640
E07000096,2014,62850
E07000096,2015,63220
E07000097,2011,58350
E07000097,2012,58730
E07000097,2013,59430
E07000097,2014,59790
E07000097,2015,60340
E07000098,2011,40990
E07000098,2012,41180
E07000098,2013,41470
E07000098,2014,41920
E07000098,2015,42310
E07000099,2011,54960
E07000099,2012,55360
E07000099,2013,55650
E07000099,2014,55910
E07000099,2015,56090
E07000101,2011,35570
E07000101,2012,35760
E07000101,2013,35840
E07000101,2014,36020
E07000101,2015,36160
E07000102,2011,36160
E07000102,2012,36340
E07000102,2013,36520
E07000102,2014,36660
E07000102,2015,36950
E07000103,2011,37400
E07000103,2012,37820
E07000103,2013,38360
E07000103,2014,38760
E07000103,2015,39010
E07000105,2011,49750
E07000105,2012,50380
E07000105,2013,50660
E07000105,2014,50800
E07000105,2015,51210
E07000106,2011,63860
E07000106,2012,64480
E07000106,2013,65010
E07000106,2014,65550
E07000106,2015,65880
E07000107,2011,41220
E07000107,2012,41540
E07000107,2013,41970
E07000107,2014,42570
E07000107,2015,43130
E07000108,2011,51450
E07000108,2012,51700
E07000108,2013,51920
E07000108,2014,52110
E07000108,2015,52470
E07000109,2011,41700
E07000109,2012,41880
E07000109,2013,42280
E07000109,2014,42410
E07000109,2015,42660
E07000110,2011,65530
E07000110,2012,66400
E07000110,2013,67030
E07000110,2014,67450
E07000110,2015,68040
E07000111,2011,48380
E07000111,2012,48550
E07000111,2013,48700
E07000111,2014,48930
E07000111,2015,49130
E07000112,2011,49570
E07000112,2012,49780
E07000112,2013,49980
E07000112,2014,50080
E07000112,2015,50400
E07000113,2011,57990
E07000113,2012,58390
E07000113,2013,58680
E07000113,2014,59040
E07000113,2015,59580
E07000114,2011,65000
E07000114,2012,65320
E07000114,2013,65510
E07000114,2014,65830
E07000114,2015,66220
E07000115,2011,49970
E07000115,2012,50420
E07000115,2013,50810
E07000115,2014,51380
E07000115,2015,51850
E07000116,2011,48920
E07000116,2012,49130
E07000116,2013,49130
E07000116,2014,49110
E07000116,2015,49440
E07000117,2011,39940
E07000117,2012,39890
E07000117,2013,39910
E07000117,2014,40060
E07000117,2015,40090
E07000118,2011,46770
E07000118,2012,47320
E07000118,2013,47960
E07000118,2014,48540
E07000118,2015,49260
E07000119,2011,37360
E07000119,2012,37500
E07000119,2013,37660
E07000119,2014,37890
E07000119,2015,38100
E07000120,2011,35980
E07000120,2012,36040
E07000120,2013,36050
E07000120,2014,36250
E07000120,2015,36400
E07000121,2011,60760
E07000121,2012,60860
E07000121,2013,61020
E07000121,2014,61160
E07000121,2015,61580
E07000122,2011,39380
E07000122,2012,39440
E07000122,2013,39470
E07000122,2014,39540
E07000122,2015,39620
E07000123,2011,60340
E07000123,2012,60510
E07000123,2013,60610
E07000123,2014,60770
E07000123,2015,61290
E07000124,2011,25020
E07000124,2012,25160
E07000124,2013,25340
E07000124,2014,25510
E07000124,2015,25860
E07000125,2011,30850
E07000125,2012,30960
E07000125,2013,31120
E07000125,2014,31360
E07000125,2015,31590
E07000126,2011,47700
E07000126,2012,47900
E07000126,2013,48060
E07000126,2014,48270
E07000126,2015,48740
E07000127,2011,47970
E07000127,2012,48210
E07000127,2013,48340
E07000127,2014,48710
E07000127,2015,49080
E07000128,2011,49990
E07000128,2012,50200
E07000128,2013,50380
E07000128,2014,50570
E07000128,2015,50860
E07000129,2011,39670
E07000129,2012,39940
E07000129,2013,40230
E07000129,2014,40540
E07000129,2015,40950
E07000130,2011,69220
E07000130,2012,69920
E07000130,2013,70420
E07000130,2014,71020
E07000130,2015,71750
E07000131,2011,36100
E07000131,2012,36340
E07000131,2013,36640
E07000131,2014,36980
E07000131,2015,37480
E07000132,2011,46910
E07000132,2012,47280
E07000132,2013,47510
E07000132,2014,47990
E07000132,2015,48740
E07000133,2011,22190
E07000133,2012,22340
