gss-code,year,vacancy-dwellings
E06000001,2011,1986
E06000001,2012,1976
E06000001,2013,1513
E06000001,2014,1554
E06000001,2015,1718
E06000002,2011,2512
E06000002,2012,2560
E06000002,2013,2246
E06000002,2014,2328
E06000002,2015,2361
E06000003,2011,2564
E06000003,2012,2422
E06000003,2013,2402
E06000003,2014,2374
E06000003,2015,2418
E06000004,2011,2779
E06000004,2012,2787
E06000004,2013,2627
E06000004,2014,2703
E06000004,2015,2351
E06000005,2011,1933
E06000005,2012,1953
E06000005,2013,1758
E06000005,2014,1637
E06000005,2015,1688
E06000006,2011,1783
E06000006,2012,1516
E06000006,2013,1284
E06000006,2014,1287
E06000006,2015,1219
E06000007,2011,2237
E06000007,2012,2349
E06000007,2013,1993
E06000007,2014,2362
E06000007,2015,2332
E06000008,2011,3417
E06000008,2012,3474
E06000008,2013,3405
E06000008,2014,3368
E06000008,2015,3002
E06000009,2011,3860
E06000009,2012,3932
E06000009,2013,3955
E06000009,2014,4092
E06000009,2015,3961
E06000010,2011,6089
E06000010,2012,5889
E06000010,2013,5223
E06000010,2014,5334
E06000010,2015,4995
E06000011,2011,5315
E06000011,2012,5520
E06000011,2013,5183
E06000011,2014,5088
E06000011,2015,4693
E06000012,2011,2976
E06000012,2012,3076
E06000012,2013,2894
E06000012,2014,3072
E06000012,2015,3133
E06000013,2011,2651
E06000013,2012,2659
E06000013,2013,2590
E06000013,2014,2524
E06000013,2015,2341
E06000014,2011,1300
E06000014,2012,1295
E06000014,2013,1187
E06000014,2014,847
E06000014,2015,844
E06000015,2011,3970
E06000015,2012,3727
E06000015,2013,3426
E06000015,2014,3230
E06000015,2015,2924
E06000016,2011,4678
E06000016,2012,4882
E06000016,2013,4116
E06000016,2014,4202
E06000016,2015,3727
E06000017,2011,555
E06000017,2012,580
E06000017,2013,491
E06000017,2014,462
E06000017,2015,512
E06000018,2011,4572
E06000018,2012,4248
E06000018,2013,3409
E06000018,2014,3954
E06000018,2015,4166
E06000019,2011,2152
E06000019,2012,2037
E06000019,2013,1720
E06000019,2014,1295
E06000019,2015,1237
E06000020,2011,2090
E06000020,2012,2049
E06000020,2013,1953
E06000020,2014,1816
E06000020,2015,1993
E06000021,2011,5196
E06000021,2012,5011
E06000021,2013,4498
E06000021,2014,4482
E06000021,2015,4527
E06000022,2011,1831
E06000022,2012,1906
E06000022,2013,1688
E06000022,2014,1598
E06000022,2015,1640
E06000023,2011,4519
E06000023,2012,4294
E06000023,2013,3583
E06000023,2014,3773
E06000023,2015,3591
E06000024,2011,2194
E06000024,2012,2125
E06000024,2013,1801
E06000024,2014,1384
E06000024,2015,1460
E06000025,2011,2167
E06000025,2012,2134
E06000025,2013,1884
E06000025,2014,1976
E06000025,2015,1806
E06000026,2011,2886
E06000026,2012,3248
E06000026,2013,2996
E06000026,2014,2744
E06000026,2015,2849
E06000027,2011,3124
E06000027,2012,2920
E06000027,2013,2921
E06000027,2014,2948
E06000027,2015,2771
E06000028,2011,2939
E06000028,2012,3103
E06000028,2013,2973
E06000028,2014,2856
E06000028,2015,2391
E06000029,2011,1930
E06000029,2012,1844
E06000029,2013,1405
E06000029,2014,1218
E06000029,2015,1290
E06000030,2011,1832
E06000030,2012,1959
E06000030,2013,1893
E06000030,2014,1725
E06000030,2015,1702
E06000031,2011,2099
E06000031,2012,1874
E06000031,2013,1716
E06000031,2014,1807
E06000031,2015,1701
E06000032,2011,2101
E06000032,2012,2060
E06000032,2013,1718
E06000032,2014,1267
E06000032,2015,1373
E06000033,2011,2747
E06000033,2012,2676
E06000033,2013,2376
E06000033,2014,2277
E06000033,2015,2147
E06000034,2011,1710
E06000034,2012,1805
E06000034,2013,1616
E06000034,2014,1497
E06000034,2015,1484
E06000035,2011,3710
E06000035,2012,3478
E06000035,2013,3375
E06000035,2014,2991
E06000035,2015,2910
E06000036,2011,892
E06000036,2012,936
E06000036,2013,920
E06000036,2014,832
E06000036,2015,1048
E06000037,2011,1216
E06000037,2012,1242
E06000037,2013,1179
E06000037,2014,1020
E06000037,2015,1094
E06000038,2011,1746
E06000038,2012,1598
E06000038,2013,1520
E06000038,2014,1408
E06000038,2015,1420
E06000039,2011,753
E06000039,2012,622
E06000039,2013,528
E06000039,2014,530
E06000039,2015,498
E06000040,2011,1831
E06000040,2012,1844
E06000040,2013,1763
E06000040,2014,1482
E06000040,2015,1603
E06000041,2011,1340
E06000041,2012,1323
E06000041,2013,1195
E06000041,2014,1219
E06000041,2015,1105
E06000042,2011,2220
E06000042,2012,2142
E06000042,2013,1982
E06000042,2014,1674
E06000042,2015,863
E06000043,2011,4128
E06000043,2012,3966
E06000043,2013,3867
E06000043,2014,4013
E06000043,2015,3780
E06000044,2011,2805
E06000044,2012,2712
E06000044,2013,2623
E06000044,2014,2635
E06000044,2015,2586
E06000045,2011,3186
E06000045,2012,3301
E06000045,2013,2695
E06000045,2014,2682
E06000045,2015,2633
E06000046,2011,2496
E06000046,2012,2534
E06000046,2013,2571
E06000046,2014,2386
E06000046,2015,2272
E06000047,2011,10416
E06000047,2012,9999
E06000047,2013,9659
E06000047,2014,10163
E06000047,2015,10267
E06000048,2011,5242
E06000048,2012,5517
E06000048,2013,5246
E06000048,2014,5074
E06000048,2015,4820
E06000049,2011,5485
E06000049,2012,5372
E06000049,2013,4515
E06000049,2014,4163
E06000049,2015,4036
E06000050,2011,4945
E06000050,2012,4967
E06000050,2013,4266
E06000050,2014,4059
E06000050,2015,4262
E06000051,2011,4604
E06000051,2012,4673
E06000051,2013,4891
E06000051,2014,4404
E06000051,2015,4317
E06000052,2011,9338
E06000052,2012,8926
E06000052,2013,8331
E06000052,2014,8099
E06000052,2015,8176
E06000053,2011,23
E06000053,2012,16
E06000053,2013,8
E06000053,2014,13
E06000053,2015,8
E06000054,2011,5558
E06000054,2012,5691
E06000054,2013,5613
E06000054,2014,5525
E06000054,2015,5103
E06000055,2011,1925
E06000055,2012,2060
E06000055,2013,1781
E06000055,2014,1684
E06000055,2015,1628
E06000056,2011,3240
E06000056,2012,3028
E06000056,2013,2219
E06000056,2014,2113
E06000056,2015,2102
E07000004,2011,1851
E07000004,2012,1922
E07000004,2013,1582
E07000004,2014,1194
E07000004,2015,1256
E07000005,2011,1079
E07000005,2012,1123
E07000005,2013,1051
E07000005,2014,1022
E07000005,2015,1019
E07000006,2011,711
E07000006,2012,774
E07000006,2013,683
E07000006,2014,739
E07000006,2015,766
E07000007,2011,1383
E07000007,2012,1447
E07000007,2013,1059
E07000007,2014,1423
E07000007,2015,1375
E07000008,2011,1214
E07000008,2012,1280
E07000008,2013,1345
E07000008,2014,1315
E07000008,2015,1310
E07000009,2011,1034
E07000009,2012,1002
E07000009,2013,799
E07000009,2014,840
E07000009,2015,761
E07000010,2011,1156
E07000010,2012,1142
E07000010,2013,1152
E07000010,2014,1116
E07000010,2015,1066
E07000011,2011,1867
E07000011,2012,1765
E07000011,2013,1584
E07000011,2014,1561
E07000011,2015,1395
E07000012,2011,1466
E07000012,2012,1623
E07000012,2013,1502
E07000012,2014,1465
E07000012,2015,1417
E07000026,2011,1856
E07000026,2012,1821
E07000026,2013,1830
E07000026,2014,1842
E07000026,2015,1908
E07000027,2011,1736
E07000027,2012,1668
E07000027,2013,1660
E07000027,2014,1655
E07000027,2015,1489
E07000028,2011,1876
E07000028,2012,1796
E07000028,2013,1639
E07000028,2014,1586
E07000028,2015,1525
E07000029,2011,1354
E07000029,2012,1484
E07000029,2013,1365
E07000029,2014,1395
E07000029,2015,1479
E07000030,2011,913
E07000030,2012,979
E07000030,2013,1117
E07000030,2014,1105
E07000030,2015,1038
E07000031,2011,2062
E07000031,2012,2137
E07000031,2013,2010
E07000031,2014,2038
E07000031,2015,2053
E07000032,2011,2000
E07000032,2012,1852
E07000032,2013,1828
E07000032,2014,1746
E07000032,2015,1853
E07000033,2011,1742
E07000033,2012,1666
E07000033,2013,1464
E07000033,2014,1450
E07000033,2015,1431
E07000034,2011,1556
E07000034,2012,1527
E07000034,2013,1660
E07000034,2014,1651
E07000034,2015,1530
E07000035,2011,1429
E07000035,2012,1358
E07000035,2013,1410
E07000035,2014,1400
E07000035,2015,1471
E07000036,2011,1835
E07000036,2012,1929
E07000036,2013,1707
E07000036,2014,1691
E07000036,2015,1650
E07000037,2011,1458
E07000037,2012,1512
E07000037,2013,1391
E07000037,2014,1490
E07000037,2015,1424
E07000038,2011,1272
E07000038,2012,1178
E07000038,2013,1359
E07000038,2014,1321
E07000038,2015,1379
E07000039,2011,1187
E07000039,2012,1109
E07000039,2013,997
E07000039,2014,1008
E07000039,2015,1046
E07000040,2011,1934
E07000040,2012,1997
E07000040,2013,2110
E07000040,2014,2037
E07000040,2015,2042
E07000041,2011,756
E07000041,2012,668
E07000041,2013,709
E07000041,2014,774
E07000041,2015,781
E07000042,2011,1049
E07000042,2012,1022
E07000042,2013,945
E07000042,2014,1028
E07000042,2015,1052
E07000043,2011,1452
E07000043,2012,1446
E07000043,2013,1654
E07000043,2014,1507
E07000043,2015,1526
E07000044,2011,1195
E07000044,2012,1225
E07000044,2013,1104
E07000044,2014,1159
E07000044,2015,1054
E07000045,2011,1728
E07000045,2012,1660
E07000045,2013,1685
E07000045,2014,1631
E07000045,2015,1503
E07000046,2011,997
E07000046,2012,944
E07000046,2013,994
E07000046,2014,952
E07000046,2015,1065
E07000047,2011,723
E07000047,2012,824
E07000047,2013,709
E07000047,2014,623
E07000047,2015,578
E07000048,2011,621
E07000048,2012,595
E07000048,2013,565
E07000048,2014,560
E07000048,2015,623
E07000049,2011,942
E07000049,2012,858
E07000049,2013,736
E07000049,2014,835
E07000049,2015,804
E07000050,2011,970
E07000050,2012,875
E07000050,2013,875
E07000050,2014,805
E07000050,2015,735
E07000051,2011,528
E07000051,2012,492
E07000051,2013,520
E07000051,2014,466
E07000051,2015,468
E07000052,2011,1429
E07000052,2012,1456
E07000052,2013,1317
E07000052,2014,1249
E07000052,2015,1226
E07000053,2011,905
E07000053,2012,930
E07000053,2013,923
E07000053,2014,766
E07000053,2015,747
E07000061,2011,1719
E07000061,2012,1722
E07000061,2013,1405
E07000061,2014,1414
E07000061,2015,1357
E07000062,2011,1848
E07000062,2012,1858
E07000062,2013,1779
E07000062,2014,1684
E07000062,2015,1590
E07000063,2011,1131
E07000063,2012,1090
E07000063,2013,1001
E07000063,2014,1014
E07000063,2015,1058
E07000064,2011,1681
E07000064,2012,1680
E07000064,2013,1458
E07000064,2014,1318
E07000064,2015,1278
E07000065,2011,1805
E07000065,2012,1826
E07000065,2013,1696
E07000065,2014,1578
E07000065,2015,1666
E07000066,2011,1544
E07000066,2012,1795
E07000066,2013,1738
E07000066,2014,1443
E07000066,2015,1414
E07000067,2011,1711
E07000067,2012,1652
E07000067,2013,1549
E07000067,2014,1601
E07000067,2015,1599
E07000068,2011,739
E07000068,2012,760
E07000068,2013,603
E07000068,2014,589
E07000068,2015,729
E07000069,2011,1031
E07000069,2012,1034
E07000069,2013,950
E07000069,2014,799
E07000069,2015,758
E07000070,2011,1455
E07000070,2012,1555
E07000070,2013,1372
E07000070,2014,1302
E07000070,2015,1278
E07000071,2011,2024
E07000071,2012,1910
E07000071,2013,1869
E07000071,2014,1737
E07000071,2015,1641
E07000072,2011,1626
E07000072,2012,1562
E07000072,2013,1476
E07000072,2014,1391
E07000072,2015,1365
E07000073,2011,687
E07000073,2012,684
E07000073,2013,563
E07000073,2014,478
E07000073,2015,631
E07000074,2011,675
E07000074,2012,633
E07000074,2013,636
E07000074,2014,654
E07000074,2015,594
E07000075,2011,902
E07000075,2012,863
E07000075,2013,881
E07000075,2014,629
E07000075,2015,679
E07000076,2011,2419
E07000076,2012,2560
E07000076,2013,2338
E07000076,2014,2202
E07000076,2015,1960
E07000077,2011,844
E07000077,2012,880
E07000077,2013,826
E07000077,2014,741
E07000077,2015,745
E07000078,2011,1665
E07000078,2012,1652
E07000078,2013,1628
E07000078,2014,1614
E07000078,2015,1644
E07000079,2011,1076
E07000079,2012,1089
E07000079,2013,901
E07000079,2014,885
E07000079,2015,936
E07000080,2011,1243
E07000080,2012,1254
E07000080,2013,1273
E07000080,2014,1178
E07000080,2015,1199
E07000081,2011,1742
E07000081,2012,1759
E07000081,2013,1648
E07000081,2014,1629
E07000081,2015,1600
E07000082,2011,1576
E07000082,2012,1561
E07000082,2013,1657
E07000082,2014,1678
E07000082,2015,1278
E07000083,2011,778
E07000083,2012,761
E07000083,2013,830
E07000083,2014,690
E07000083,2015,797
E07000084,2011,1442
E07000084,2012,1353
E07000084,2013,1387
E07000084,2014,1438
E07000084,2015,1423
E07000085,2011,1232
E07000085,2012,1230
E07000085,2013,1140
E07000085,2014,1070
E07000085,2015,1102
E07000086,2011,1307
E07000086,2012,1215
E07000086,2013,1145
E07000086,2014,951
E07000086,2015,988
E07000087,2011,1030
E07000087,2012,983
E07000087,2013,974
E07000087,2014,1075
E07000087,2015,1010
E07000088,2011,1265
E07000088,2012,1342
E07000088,2013,1063
E07000088,2014,1033
E07000088,2015,851
E07000089,2011,838
E07000089,2012,819
E07000089,2013,663
E07000089,2014,642
E07000089,2015,677
E07000090,2011,1190
E07000090,2012,1185
E07000090,2013,1056
E07000090,2014,930
E07000090,2015,985
E07000091,2011,2053
E07000091,2012,2133
E07000091,2013,1874
E07000091,2014,1840
E07000091,2015,1822
E07000092,2011,797
E07000092,2012,792
E07000092,2013,750
E07000092,2014,795
E07000092,2015,741
E07000093,2011,977
E07000093,2012,917
E07000093,2013,826
E07000093,2014,699
E07000093,2015,771
E07000094,2011,1260
E07000094,2012,1222
E07000094,2013,1268
E07000094,2014,1169
E07000094,2015,1043
E07000095,2011,691
E07000095,2012,702
E07000095,2013,618
E07000095,2014,559
E07000095,2015,584
E07000096,2011,1490
E07000096,2012,1416
E07000096,2013,1103
E07000096,2014,1126
E07000096,2015,1034
E07000097,2011,1435
E07000097,2012,1430
E07000097,2013,1262
E07000097,2014,1130
E07000097,2015,1187
E07000098,2011,836
E07000098,2012,915
E07000098,2013,906
E07000098,2014,851
E07000098,2015,939
E07000099,2011,1377
E07000099,2012,1449
E07000099,2013,1249
E07000099,2014,1116
E07000099,2015,1157
E07000101,2011,682
E07000101,2012,623
E07000101,2013,547
E07000101,2014,507
E07000101,2015,424
E07000102,2011,605
E07000102,2012,650
E07000102,2013,582
E07000102,2014,456
E07000102,2015,550
E07000103,2011,646
E07000103,2012,725
E07000103,2013,600
E07000103,2014,440
E07000103,2015,595
E07000105,2011,1221
E07000105,2012,1163
E07000105,2013,997
E07000105,2014,1007
E07000105,2015,1008
E07000106,2011,1955
E07000106,2012,2091
E07000106,2013,1678
E07000106,2014,1584
E07000106,2015,1544
E07000107,2011,1086
E07000107,2012,1033
E07000107,2013,814
E07000107,2014,837
E07000107,2015,878
E07000108,2011,2087
E07000108,2012,1873
E07000108,2013,1490
E07000108,2014,1400
E07000108,2015,1476
E07000109,2011,892
E07000109,2012,862
E07000109,2013,682
E07000109,2014,728
E07000109,2015,680
E07000110,2011,1583
E07000110,2012,1401
E07000110,2013,1239
E07000110,2014,1112
E07000110,2015,1017
E07000111,2011,1409
E07000111,2012,1304
E07000111,2013,1258
E07000111,2014,1154
E07000111,2015,1165
E07000112,2011,2003
E07000112,2012,2004
E07000112,2013,1939
E07000112,2014,1676
E07000112,2015,1683
E07000113,2011,1784
E07000113,2012,1845
E07000113,2013,1633
E07000113,2014,1634
E07000113,2015,1442
E07000114,2011,3377
E07000114,2012,3065
E07000114,2013,2452
E07000114,2014,2443
E07000114,2015,2420
E07000115,2011,1016
E07000115,2012,1030
E07000115,2013,1258
E07000115,2014,1139
E07000115,2015,1132
E07000116,2011,1208
E07000116,2012,1341
E07000116,2013,1200
E07000116,2014,1076
E07000116,2015,1025
E07000117,2011,2824
E07000117,2012,2978
E07000117,2013,2626
E07000117,2014,2458
E07000117,2015,2456
E07000118,2011,1672
E07000118,2012,1752
E07000118,2013,1528
E07000118,2014,1485
E07000118,2015,1409
E07000119,2011,1827
E07000119,2012,1784
E07000119,2013,1755
E07000119,2014,1702
E07000119,2015,1618
E07000120,2011,2547
E07000120,2012,2565
E07000120,2013,2312
E07000120,2014,2166
E07000120,2015,1962
E07000121,2011,2427
E07000121,2012,2540
E07000121,2013,2388
E07000121,2014,2274
E07000121,2015,2457
E07000122,2011,2746
E07000122,2012,2554
E07000122,2013,2519
E07000122,2014,2190
E07000122,2015,2045
E07000123,2011,2399
E07000123,2012,2478
E07000123,2013,2193
E07000123,2014,2301
E07000123,2015,2289
E07000124,2011,822
E07000124,2012,842
E07000124,2013,940
E07000124,2014,797
E07000124,2015,813
E07000125,2011,1470
E07000125,2012,1585
E07000125,2013,1575
E07000125,2014,1441
E07000125,2015,1372
E07000126,2011,1462
E07000126,2012,1545
E07000126,2013,1573
E07000126,2014,1418
E07000126,2015,1399
E07000127,2011,1632
E07000127,2012,1603
E07000127,2013,1670
E07000127,2014,1559
E07000127,2015,1390
E07000128,2011,1984
E07000128,2012,1925
E07000128,2013,1784
E07000128,2014,1619
E07000128,2015,1548
E07000129,2011,978
E07000129,2012,1052
E07000129,2013,835
E07000129,2014,802
E07000129,2015,777
E07000130,2011,1773
E07000130,2012,1631
E07000130,2013,1462
E07000130,2014,1527
E07000130,2015,1559
E07000131,2011,1177
E07000131,2012,1122
E07000131,2013,965
E07000131,2014,995
E07000131,2015,954
E07000132,2011,1368
E07000132,2012,1390
E07000132,2013,1303
E07000132,2014,1213
